,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
68,2022,2,1,1,11,1,1,3,1,2,1990.429,10821.606,1463479.484,2
69,2022,2,1,1,11,1,1,3,2,1,866.581,2599.743,365697.215,1
70,2022,2,1,1,11,1,1,3,2,2,2916.144,13658.239,1631520.729,2
71,2022,2,1,1,11,1,1,4,1,1,1244.557,3733.670,248911.351,1
72,2022,2,1,1,11,1,1,4,2,2,458.437,1833.748,106815.827,1
73,2022,2,1,1,11,1,1,5,1,1,1906.594,4766.486,735945.378,2
74,2022,2,1,1,11,1,1,5,2,1,825.189,2475.568,309445.944,1
75,2022,2,1,1,11,1,1,5,2,2,2899.452,21333.299,1723169.255,3
76,2022,2,1,1,11,1,1,9,9,2,1481.629,10371.401,1250494.676,1
77,2022,2,1,1,11,1,2,2,1,1,1481.629,4444.886,499308.893,1
78,2022,2,1,1,11,1,2,6,1,2,940.625,6584.372,1191771.421,1
79,2022,2,1,1,11,2,1,3,1,1,1085.470,2170.940,108547.007,1
80,2022,2,1,1,11,2,1,4,1,1,1498.764,2997.529,524567.547,2
81,2022,2,1,1,11,2,1,4,2,1,542.735,1085.470,271367.519,1
82,2022,2,1,1,11,2,1,5,1,1,2888.499,5878.566,1314099.63,4
83,2022,2,1,1,11,2,1,6,2,1,454.171,454.171,186210.125,1
84,2022,2,1,1,11,2,1,9,2,1,1037.132,2074.263,540345.578,1
85,2022,2,1,1,11,2,2,3,2,2,454.171,2270.855,190751.835,1
86,2022,2,1,1,11,4,1,2,1,2,1613.738,8039.753,124598.403,2
87,2022,2,1,1,11,4,1,2,1,3,454.171,8629.250,550909.467,1
88,2022,2,1,1,11,4,1,3,1,1,1481.629,2963.258,74081.438,1
89,2022,2,1,1,11,4,1,3,1,2,922.482,6457.372,202945.981,1
90,2022,2,1,1,11,4,1,3,2,1,866.581,2599.743,71926.23,1
91,2022,2,1,1,11,4,1,5,2,2,3367.158,18287.774,644040.192,3
92,2022,2,1,1,11,4,1,6,2,2,454.171,1816.684,90834.207,1
93,2022,2,1,1,11,4,1,7,1,1,953.297,2859.891,23832.428,1
94,2022,2,1,1,11,4,1,7,2,1,825.189,2475.568,151834.81,1
95,2022,2,1,1,12,1,1,2,1,1,609.519,1828.556,139579.797,1
96,2022,2,1,1,12,1,1,2,1,2,561.400,5614.000,123508.011,1
97,2022,2,1,1,12,1,1,3,1,1,609.519,1828.556,30475.938,1
98,2022,2,1,1,12,1,1,3,1,2,4171.682,34738.140,1853125.678,3
99,2022,2,1,1,12,1,1,3,1,3,1037.132,21779.764,1037131.627,1
100,2022,2,1,1,12,1,1,3,1,4,561.400,42105.004,140350.012,1
101,2022,2,1,1,12,1,1,3,2,1,877.602,1755.204,285220.68,1
102,2022,2,1,1,12,1,1,3,2,2,3897.726,25527.875,1294491.197,3
103,2022,2,1,1,12,1,1,4,1,2,2249.091,15278.474,814012.381,3
104,2022,2,1,1,12,1,1,4,1,3,1219.038,23771.232,856983.382,2
105,2022,2,1,1,12,1,1,4,2,1,2632.771,6302.673,845682.024,2
106,2022,2,1,1,12,1,1,4,2,2,561.400,3929.800,449120.039,1
107,2022,2,1,1,12,1,1,4,2,3,1476.100,23874.660,617152.319,2
108,2022,2,1,1,12,1,1,5,1,1,3696.202,7392.403,1478480.688,1
109,2022,2,1,1,12,1,1,5,1,2,3382.507,25096.987,1298639.279,3
110,2022,2,1,1,12,1,1,5,1,4,609.519,26818.826,711308.397,1
111,2022,2,1,1,12,1,1,5,2,2,1170.919,8196.432,560469.137,2
112,2022,2,1,1,12,1,1,6,1,2,609.519,5485.669,243807.506,1
113,2022,2,1,1,12,1,1,6,2,2,458.437,3209.059,114609.256,1
114,2022,2,1,1,12,1,1,6,2,3,1216.922,17036.904,365076.517,1
115,2022,2,1,1,12,1,1,7,2,2,561.400,6736.801,280700.025,1
116,2022,2,1,1,12,1,1,7,2,4,940.625,38565.610,2351561.605,1
117,2022,2,1,1,12,1,2,1,1,2,561.400,5614.000,197051.417,1
118,2022,2,1,1,12,1,2,2,2,2,5201.289,36409.021,2968852.328,5
119,2022,2,1,1,12,1,2,3,1,2,922.482,6457.372,432643.933,1
120,2022,2,1,1,12,1,2,3,2,2,1216.922,8518.452,558567.072,1
121,2022,2,1,1,12,1,2,4,1,2,609.519,2438.075,123732.309,1
122,2022,2,1,1,12,1,2,4,2,2,2425.791,16980.537,861393.6,2
123,2022,2,1,1,12,1,2,6,1,2,922.482,6457.372,336705.832,1
124,2022,2,1,1,12,1,2,6,1,3,1216.922,17036.904,1355650.801,1
125,2022,2,1,1,12,1,2,6,2,2,922.482,6457.372,340395.759,1
